,r_sum,i_sum,r_mean,i_mean,r_std,i_std,r_var,i_var,r_skew,i_skew,r_kurtosis,i_kurtosis,label
0,14.058246875000005,1.231653667943533e-15,0.0004657207604518653,4.0802148941348074e-20,0.011904758135477414,0.0011254009721518284,0.00014172326626421566,1.2665273481202801e-06,6.940779696117986,0.9436190420681158,83.01144328163309,63.40031060805191,1
1,14.108683593750003,1.294103713078698e-15,0.00046540272451756564,4.2688560550179715e-20,0.01188820020548178,0.0011606978058980846,0.00014132930412561707,1.3472193966166278e-06,6.950205091181654,0.0726574428240786,83.2265679058963,96.84916966443899,1
2,14.062565625000001,1.222980050563649e-15,0.00046586383174319223,4.051480986429633e-20,0.011895376931769282,0.0011432579200443026,0.0001414999923488688,1.307038671744025e-06,6.9439273220573465,0.7231555319191855,83.09735989567304,56.629422550048815,1
3,14.068616406250001,1.3834419720915037e-15,0.0004660642816620288,4.583058278975365e-20,0.01190093750262707,0.001131617857896829,0.00014163231344143547,1.280558976311008e-06,6.93876553057379,0.8387388610752313,83.03427341520897,56.597326304330075,1
4,14.046764062500001,9.922618282587337e-16,0.0004653403585271318,3.287159041471986e-20,0.011898139878098183,0.001135608421010217,0.00014156573255879023,1.2896064858693182e-06,6.939507917941441,0.683267265390616,83.0573894538539,60.39019940166898,1
5,14.047742968750004,1.1345091532888318e-15,0.00046537278767475,3.758395127836851e-20,0.011900726165994387,0.0011316560113963814,0.00014162728327798345,1.2806453281295672e-06,6.939199605084029,0.8508454710764646,83.03673486333622,57.983528094183036,1
6,14.051184375000004,1.3895135042574225e-15,0.00046548679437487586,4.6031720143689875e-20,0.011902814571825942,0.001127713142231519,0.000141676994731272,1.2717369311616857e-06,6.939048736574779,0.91333572180323,83.02027255439026,58.31317581197165,1
7,14.107449218750002,1.2351231148954867e-15,0.0004653620062262907,4.0742969318670184e-20,0.011901254511129075,0.0011255807245251575,0.00014163985893867015,1.2669319674225783e-06,6.9388055894730885,0.9563137436687018,83.01548989929938,62.68845368509707,1
8,14.036918749999998,1.0668549377257364e-15,0.0004650142036043198,3.5342706477364883e-20,0.011887524228944919,0.001161249507813148,0.00014131323229375246,1.348500419396278e-06,6.951321909562884,0.08864375857345998,83.26260859857614,95.74510160837686,1
9,14.108608593749997,1.2698175844150228e-15,0.00046540025049480446,4.188743474896991e-20,0.011888543782012987,0.0011577668981090914,0.00014133747325683965,1.3404241903571472e-06,6.94871519552902,0.08174469190657584,83.20902513870148,96.63311069456412,1
